Question	Question_Type_ID	Type	Length	Prog_Obj	Aspect
Ich bin am aufwachen.	19	prog	short	NO	achievement
Ich bin ein Buch am aufschlagen.	31	prog	short	YES	achievement
Ich bin am wandern.	2	prog	long	NO	activity
Ich bin den Haustürschlüssel am suchen.	24	prog	medium	YES	activity
Ich öffne die Flasche.	1	pres	short	NA	achievement
Ich backe einen Kuchen.	12	pres	medium	NA	accomplishment
Ich werfe einen Ball.	9	pres	short	NA	achievement
Ich warte.	20	pres	long	NA	state
Ich trainiere	23	pres	long	NA	activity
Ich lese einen Zeitungsartikel.	28	pres	long	NA	accomplishment
Ich bin ein Haus am bauen.	15	prog	long	YES	accomplishment
Ich bin eine Suppe am kochen.	4	prog	medium	YES	accomplishment
Ich binde meine Schuhe.	7	pres	short	NA	accomplishment
Ich bin am schlafen.	27	prog	long	NO	state
Ich laufe.	11	pres	long	NA	activity
Ich kaufe ein.	30	pres	medium	NA	activity
Ich mache die Steuererkläung.	16	pres	medium	NA	accomplishment
Ich bin einen Knopf am drücken.	21	prog	short	YES	achievement
Ich bin am basteln.	22	prog	long	NO	activity
Ich arbeite.	26	pres	long	NA	activity
Ich schreibe einen Brief.	5	pres	medium	NA	accomplishment
Ich bin mit den Fingern am schnipsen.	8	prog	short	PP	activity
Ich bastle.	22	pres	long	NA	activity
Ich schnipse mit den Fingern.	8	pres	short	NA	activity
Ich bin einen Kuchen am backen.	12	prog	medium	YES	accomplishment
Ich wandere.	2	pres	long	NA	activity
Ich koche eine Suppe.	4	pres	medium	NA	accomplishment
Ich drücke einen Knopf.	21	pres	short	NA	achievement
Ich bin einen Zeitungsartikel am lesen.	28	prog	long	YES	accomplishment
Ich bin die Flasche am öffnen.	1	prog	short	YES	achievement
Ich bin einen Brief am schreiben.	5	prog	medium	YES	accomplishment
Ich bin die Steuererkärung am machen.	16	prog	medium	YES	accomplishment
Ich bin am einkaufen.	30	prog	medium	NO	activity
Ich bin am laufen.	11	prog	long	NO	activity
Ich schlage ein Buch auf.	31	pres	short	NA	achievement
Ich bin am warten.	20	prog	long	NO	state
Ich bin am arbeiten.	26	prog	long	NO	activity
Ich baue ein Haus.	15	pres	long	NA	accomplishment
Ich bin am trainieren	23	prog	long	NO	activity
Ich wache auf.	19	pres	short	NA	achievement
Ich bin meine Schuhe am binden.	7	prog	short	YES	accomplishment
Ich schlafe	27	pres	long	NA	state
Ich suche den Haustürschlüssel.	24	pres	medium	NA	activity
Ich bin einen Ball am werfen.	9	prog	short	YES	achievement
